Anti Mage: Meepo, Huskar, Phantom Assassin, Axe, Troll Warlord, Lone Druid, Slardar, Kez, Terrorblade, Shadow Fiend
Axe: Timbersaw, Outworld Destroyer, Leshrac, Primal Beast, Batrider, Venomancer, Necrophos, Doom, Witch Doctor, Dragon Knight
Bane: Chaos Knight, Meepo, Abaddon, Chen, Slark, Arc Warden, Naga Siren, Visage, Spectre, Silencer
Bloodseeker: Medusa, Juggernaut, Oracle, Nature's Prophet, Storm Spirit, Chen, Legion Commander, Enchantress, Bristleback, Viper
Crystal Maiden: Rubick, Dawnbreaker, Pudge, Enigma, Juggernaut, Bristleback, Drow Ranger, Pangolier, Pugna, Puck
Drow Ranger: Phantom Lancer, Mars, Earth Spirit, Primal Beast, Pudge, Chaos Knight, Faceless Void, Spectre, Centaur Warrunner, Dark Seer
Earthshaker: Templar Assassin, Huskar, Clinkz, Sniper, Viper, Bristleback, Gyrocopter, Windranger, Batrider, Clockwerk
Juggernaut: Nature's Prophet, Visage, Riki, Morphling, Windranger, Clinkz, Chen, Broodmother, Void Spirit, Weaver
Mirana: Meepo, Chen, Mars, Spectre, Puck, Axe, Wraith King, Luna, Centaur Warrunner, Bounty Hunter
Morphling: Nyx Assassin, Doom, Lina, Anti-Mage, Axe, Rubick, Beastmaster, Lion, Earthshaker, Ancient Apparition
Shadow Fiend: Terrorblade, Medusa, Windranger, Dragon Knight, Kunkka, Phantom Lancer, Templar Assassin, Luna, Sniper, Zeus
Phantom Lancer: Sand King, Warlock, Necrophos, Timbersaw, Crystal Maiden, Underlord, Axe, Lina, Puck, Anti-Mage
Puck: Night Stalker, Broodmother, Riki, Lone Druid, Spectre, Silencer, Dragon Knight, Nyx Assassin, Huskar, Muerta
Pudge: Batrider, Marci, Chen, Ursa, Beastmaster, Magnus, Monkey King, Pangolier, Timbersaw, Tusk
Razor: Morphling, Queen of Pain, Anti-Mage, Primal Beast, Ember Spirit, Weaver, Bristleback, Bloodseeker, Storm Spirit, Mirana
